"author","title","description","url","urlToImage","publishedAt","content"
"Al Jazeera","US-Mexico border crossing arrests reach record highs: Reports","The Biden administration is facing growing criticism for its treatment of migrants seeking protection at its border.","http://www.aljazeera.com/news/2021/10/20/us-mexico-border-arrests-reach-record-highs-reports","https://www.aljazeera.com/wp-content/uploads/2021/10/2021-10-18T190004Z_1110206911_RC2ECQ9P0GXP_RTRMADP_3_USA-IMMIGRATION-MEXICO.jpg?resize=1200%2C630","2021-10-20T21:04:08Z","US authorities reportedly detained 1.7 million migrants trying to cross the US-Mexico border this fiscal year marking an all-time high and highlighting the deepening political and humanitarian challe… [+3710 chars]"
"Al Jazeera","Attack on security vehicle in northwest Pakistan kills 4","No immediate claim of responsibility for the attack that happened in Khyber Pakhtunkhwa province on the Afghan border.","http://www.aljazeera.com/news/2021/10/20/attack-on-security-vehicle-in-northwest-pakistan-kills-four","https://www.aljazeera.com/wp-content/uploads/2010/12/20101210125851830833_20.jpeg?fit=680%2C450","2021-10-20T18:46:50Z","A roadside bomb has struck a vehicle carrying security forces in northwest Pakistan, killing four people.
The attack happened in Bajur on Wednesday, a district in Khyber Pakhtunkhwa province on Paki… [+1101 chars]"
"Zena Al Tahhan","Palestinians demand mobilisation to save hunger-strike prisoners","Families of prisoners call for the release of their sons, held in Israeli jails under ‘administrative detention’.","http://www.aljazeera.com/news/2021/10/20/palestinians-demand-mobilization-to-save-hunger-strike-prisoners","https://www.aljazeera.com/wp-content/uploads/2021/10/image00017.jpeg?resize=1200%2C630","2021-10-20T16:59:49Z","Ramallah, Occupied West Bank Dozens of Palestinians staged a protest at the al-Manara Square in downtown Ramallah on Wednesday, calling for the release of six prisoners on hunger strike in Israeli ja… [+6257 chars]"
"Kareem Chehayeb","Syria gov’t abuses of returning refugees ‘fully operational’: HRW","Rights group calls for a halt of all returns of Syrians and urges countries hosting refugees to take this position.","http://www.aljazeera.com/news/2021/10/20/hrw-syrian-govt-detention-centres-hampering-refugee-returns","https://www.aljazeera.com/wp-content/uploads/2021/07/2021-07-09T124645Z_1593807550_RC20HO953FI5_RTRMADP_3_SYRIA-SECURITY-UN-TURKEY-1.jpg?resize=1200%2C630","2021-10-20T16:28:58Z","Beirut, Lebanon Continuing Syrian government human rights abuses mean refugees should not be returned, Human Rights Watch (HRW) said on Wednesday, urging host nations to adhere to the warning.
The N… [+4140 chars]"
"Al Jazeera","Ethiopia launches new air raids on embattled Tigray region","Air raids hit Tigray for the second time this week amid sharp escalation in near yearlong conflict.","http://www.aljazeera.com/news/2021/10/20/renewed-ethiopia-air-raids-tigray-capital-mekelle","https://www.aljazeera.com/wp-content/uploads/2021/10/2021-10-20T114319Z_1390720631_RC2MDQ9Q8KU5_RTRMADP_3_ETHIOPIA-CONFLICT.jpg?resize=922%2C630","2021-10-20T10:28:39Z","Ethiopias military has launched new air raids on Tigray, the second round of bombardments this week against rebel targets in the war-battered region.
The air raids mark a sharp escalation in the nea… [+3454 chars]"
"Al Jazeera","Russia welcomes Taliban ‘efforts’ to stabilise Afghanistan","Moscow is hosting the group for international talks but is stopping short of official recognition.","http://www.aljazeera.com/news/2021/10/20/russia-hosts-taliban-for-talks-but-warns-no-recognition-for-now","https://www.aljazeera.com/wp-content/uploads/2021/10/2018-03-13T102057Z_275378538_UP1EE3D0SQXDF_RTRMADP_3_RUSSIA-LAVROV.jpg?resize=1200%2C630","2021-10-20T10:02:25Z","Russia recognises the Talibans efforts to try and stabilise the situation in Afghanistan, Foreign Minister Sergey Lavrov said as he hosted the group for international talks in Moscow.
A new administ… [+2874 chars]"
"Al Jazeera","Bomb attack kills 13 Syrian military personnel: state media","Syrian state TV reports 13 military personnel killed, 3 others wounded in attack during rush hour in Damascus.","http://www.aljazeera.com/news/2021/10/20/13-killed-in-damascus-army-bus-bombing-state-media","https://www.aljazeera.com/wp-content/uploads/2020/09/breaking-news@2x.png?resize=1200%2C630","2021-10-20T05:57:10Z","Two roadside bombs exploded near a bus carrying troops in the Syrian capital Damascus early Wednesday, killing at least 13 military personnel and wounding three others, state TV reported.
Syrian sta… [+922 chars]"
"Al Jazeera","US: Taliban will have no access to Afghan central bank reserves","Deputy United States Treasury Secretary Wally Adeyemo said it is essential to maintain US sanctions against the Taliban.","http://www.aljazeera.com/economy/2021/10/19/us-taliban-will-have-no-access-to-afghan-central-bank-reserves","https://www.aljazeera.com/wp-content/uploads/2021/10/taliban.jpg?resize=1200%2C630","2021-10-19T18:15:42Z","Deputy United States Treasury Secretary Wally Adeyemo said he sees no situation where the Taliban, who regained power in Afghanistan in August, would be allowed access to Afghan central bank reserves… [+1902 chars]"
"Al Jazeera","Kabul orphanage struggles to feed its children as cash runs low","There are about 130 children at the orphanage which has operated for more than a decade.","http://www.aljazeera.com/gallery/2021/10/19/afghanistan-kabul-orphanage-children-cash-crisis-taliban","https://www.aljazeera.com/wp-content/uploads/2021/10/2021-10-14T230056Z_1610434786_RC2W6Q9GD1V4_RTRMADP_3_AFGHANISTAN-CONFLICT-ORPHANAGE.jpg?resize=1200%2C630","2021-10-19T07:23:31Z","Ahmad Khalil Mayan, programme director at a large Kabul orphanage, says he is cutting back on the amount of fruit and meat he gives the children each week because the home is running out of money.
F… [+3644 chars]"
"Al Jazeera","Afghanistan: Taliban agrees to door-to-door polio vaccine drive","Afghanistan and Pakistan are the world’s last countries with endemic polio, an incurable and highly infectious disease.","http://www.aljazeera.com/news/2021/10/19/afghanistan-taliban-door-to-door-polio-vaccination-drive","https://www.aljazeera.com/wp-content/uploads/2021/06/2015-12-01T120000Z_340372716_GF20000080404_RTRMADP_3_AFGHANISTAN-DAILYLIFE.jpg?resize=1200%2C630","2021-10-19T04:32:17Z","Health workers in Afghanistan will begin a house-to-house polio vaccination drive next month after the new Taliban government agreed to support the campaign, the World Health Organization and the Uni… [+3197 chars]"
